model_name, GT, AUB, AUB_T, AUB_E, AUB_P, AUB_C, AUB_A
AC0, 1, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222
AC1, 1, 0.875, 0.0, 0.0, 0.875, 0.375, 0.375
AC2, 4, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0
BA0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
BA1, 1, 0.9333333333333333, 0.0, 0.0, 0.9333333333333333, 0.5333333333333333, 0.5333333333333333
BA2, 2, 0.8125, 0.25, 0.25, 0.5625, 0.8125, 0.8125
CI0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
CI1, 2, 0.9090909090909091, 0.0, 0.36363636363636365, 0.5454545454545454, 0.5454545454545454, 0.9090909090909091
CI2, 3, 1.0, 0.0, 0.3076923076923077, 0.6923076923076923, 0.6923076923076923, 1.0
CO0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
CO1, 1, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0
CO2, 3, 1.0, 0.0, 0.375, 0.625, 1.0, 1.0
EP0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EP1, 3, 1.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 1.0
EP2, 4, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0
ES0, 1, 0.17391304347826086, 0.17391304347826086, 0.17391304347826086, 0.0, 0.0, 0.17391304347826086
ES1, 2, 0.8260869565217391, 0.2608695652173913, 0.6086956521739131, 0.21739130434782608, 0.21739130434782608, 0.8260869565217391
ES2, 3, 1.0, 0.24, 0.56, 0.44, 1.0, 1.0
OB0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
OB1, 2, 0.9444444444444444, 0.0, 0.7777777777777778, 0.16666666666666666, 0.05555555555555555, 0.7777777777777778
OB2, 3, 1.0, 0.0, 0.3181818181818182, 0.6818181818181818, 1.0, 1.0
PM0, 1, 0.1388888888888889, 0.1388888888888889, 0.1388888888888889, 0.0, 0.0, 0.1388888888888889
PM1, 2, 1.0, 0.0, 0.0, 1.0, 0.6052631578947368, 0.6052631578947368
PM2, 3, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
RS0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
RS1, 2, 0.7307692307692307, 0.0, 0.7307692307692307, 0.0, 0.23076923076923078, 0.7307692307692307
RS2, 3, 1.0, 0.0, 0.64, 0.36, 0.4, 1.0
TE0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
TE1, 2, 1.0, 0.0, 0.0, 1.0, 0.17391304347826086, 0.17391304347826086
TE2, 2, 1.0, 0.0, 0.08, 0.92, 0.24, 0.32
